,trip_id,trip_headsign
667,ASP22GEN-1091-Weekday-00_049050_1..N03R,Van Cortlandt Park-242 St
668,ASP22GEN-1091-Weekday-00_049100_1..S03R,South Ferry
669,ASP22GEN-1091-Weekday-00_049400_1..S12R,South Ferry
670,ASP22GEN-1091-Weekday-00_049450_1..N03R,Van Cortlandt Park-242 St
671,ASP22GEN-1091-Weekday-00_049550_1..S04R,South Ferry
672,ASP22GEN-1091-Weekday-00_049800_1..S03R,South Ferry
673,ASP22GEN-1091-Weekday-00_049850_1..N12R,137 St-City College
674,ASP22GEN-1091-Weekday-00_050250_1..N03R,Van Cortlandt Park-242 St
675,ASP22GEN-1091-Weekday-00_050400_1..S03R,South Ferry
676,ASP22GEN-1091-Weekday-00_050550_1..N03R,Van Cortlandt Park-242 St
677,ASP22GEN-1091-Weekday-00_050900_1..S12R,South Ferry
678,ASP22GEN-1091-Weekday-00_050950_1..N03R,Van Cortlandt Park-242 St
679,ASP22GEN-1091-Weekday-00_050950_1..S03R,South Ferry
680,ASP22GEN-1091-Weekday-00_051350_1..N12R,137 St-City College
681,ASP22GEN-1091-Weekday-00_051600_1..S03R,South Ferry
682,ASP22GEN-1091-Weekday-00_051750_1..N03R,Van Cortlandt Park-242 St
683,ASP22GEN-1091-Weekday-00_052150_1..N03R,Van Cortlandt Park-242 St
684,ASP22GEN-1091-Weekday-00_052200_1..S12R,South Ferry
685,ASP22GEN-1091-Weekday-00_052250_1..S03R,South Ferry
686,ASP22GEN-1091-Weekday-00_052550_1..N13R,215 St
687,ASP22GEN-1091-Weekday-00_052850_1..N03R,Van Cortlandt Park-242 St
688,ASP22GEN-1091-Weekday-00_053050_1..S03R,South Ferry
689,ASP22GEN-1091-Weekday-00_053150_1..N03R,Van Cortlandt Park-242 St
690,ASP22GEN-1091-Weekday-00_053350_1..S12R,South Ferry
691,ASP22GEN-1091-Weekday-00_053450_1..N13R,215 St
692,ASP22GEN-1091-Weekday-00_053700_1..S03R,South Ferry
693,ASP22GEN-1091-Weekday-00_053850_1..N03R,Van Cortlandt Park-242 St
694,ASP22GEN-1091-Weekday-00_054150_1..N03R,Van Cortlandt Park-242 St
695,ASP22GEN-1091-Weekday-00_054450_1..N03R,Van Cortlandt Park-242 St
696,ASP22GEN-1091-Weekday-00_054600_1..S03R,South Ferry
697,ASP22GEN-1091-Weekday-00_054650_1..S12R,South Ferry
698,ASP22GEN-1091-Weekday-00_054750_1..N13R,215 St
699,ASP22GEN-1091-Weekday-00_055050_1..N03R,Van Cortlandt Park-242 St
700,ASP22GEN-1091-Weekday-00_055300_1..S03R,South Ferry
701,ASP22GEN-1091-Weekday-00_055350_1..N03R,Van Cortlandt Park-242 St
702,ASP22GEN-1091-Weekday-00_055650_1..N13R,215 St
703,ASP22GEN-1091-Weekday-00_055800_1..S03R,South Ferry
704,ASP22GEN-1091-Weekday-00_055950_1..N03R,Van Cortlandt Park-242 St
705,ASP22GEN-1091-Weekday-00_056100_1..S12R,South Ferry
706,ASP22GEN-1091-Weekday-00_056350_1..N03R,Van Cortlandt Park-242 St
707,ASP22GEN-1091-Weekday-00_056400_1..S03R,South Ferry
708,ASP22GEN-1091-Weekday-00_056700_1..N03R,Van Cortlandt Park-242 St
709,ASP22GEN-1091-Weekday-00_056900_1..S03R,South Ferry
710,ASP22GEN-1091-Weekday-00_057150_1..N03R,Van Cortlandt Park-242 St
711,ASP22GEN-1091-Weekday-00_057450_1..S03R,South Ferry
712,ASP22GEN-1091-Weekday-00_057500_1..N03R,Van Cortlandt Park-242 St
713,ASP22GEN-1091-Weekday-00_057850_1..N13R,215 St
714,ASP22GEN-1091-Weekday-00_057950_1..S03R,South Ferry
715,ASP22GEN-1091-Weekday-00_058250_1..N03R,Van Cortlandt Park-242 St
716,ASP22GEN-1091-Weekday-00_058450_1..S03R,South Ferry
717,ASP22GEN-1091-Weekday-00_058700_1..N03R,Van Cortlandt Park-242 St
718,ASP22GEN-1091-Weekday-00_058950_1..S03R,South Ferry
719,ASP22GEN-1091-Weekday-00_059150_1..N03R,Van Cortlandt Park-242 St
720,ASP22GEN-1091-Weekday-00_059450_1..S03R,South Ferry
721,ASP22GEN-1091-Weekday-00_059600_1..N03R,Van Cortlandt Park-242 St
722,ASP22GEN-1091-Weekday-00_059750_1..S03R,South Ferry
723,ASP22GEN-1091-Weekday-00_060100_1..N03R,Van Cortlandt Park-242 St
724,ASP22GEN-1091-Weekday-00_060450_1..S03R,South Ferry
725,ASP22GEN-1091-Weekday-00_060550_1..N03R,Van Cortlandt Park-242 St
726,ASP22GEN-1091-Weekday-00_060950_1..S03R,South Ferry
727,ASP22GEN-1091-Weekday-00_061050_1..N03R,Van Cortlandt Park-242 St
728,ASP22GEN-1091-Weekday-00_061450_1..S03R,South Ferry
729,ASP22GEN-1091-Weekday-00_061600_1..N03R,Van Cortlandt Park-242 St
730,ASP22GEN-1091-Weekday-00_061950_1..S03R,South Ferry
731,ASP22GEN-1091-Weekday-00_062150_1..N03R,Van Cortlandt Park-242 St
732,ASP22GEN-1091-Weekday-00_062450_1..S03R,South Ferry
733,ASP22GEN-1091-Weekday-00_062700_1..N03R,Van Cortlandt Park-242 St
734,ASP22GEN-1091-Weekday-00_062950_1..S03R,South Ferry
735,ASP22GEN-1091-Weekday-00_063250_1..N03R,Van Cortlandt Park-242 St
736,ASP22GEN-1091-Weekday-00_063450_1..S03R,South Ferry
737,ASP22GEN-1091-Weekday-00_063850_1..N03R,Van Cortlandt Park-242 St
738,ASP22GEN-1091-Weekday-00_064050_1..S03R,South Ferry
739,ASP22GEN-1091-Weekday-00_064350_1..N03R,Van Cortlandt Park-242 St
740,ASP22GEN-1091-Weekday-00_064550_1..S03R,South Ferry
741,ASP22GEN-1091-Weekday-00_064850_1..N03R,Van Cortlandt Park-242 St
742,ASP22GEN-1091-Weekday-00_065050_1..S03R,South Ferry
743,ASP22GEN-1091-Weekday-00_065350_1..N03R,Van Cortlandt Park-242 St
744,ASP22GEN-1091-Weekday-00_065550_1..S03R,South Ferry
745,ASP22GEN-1091-Weekday-00_065850_1..N03R,Van Cortlandt Park-242 St
746,ASP22GEN-1091-Weekday-00_066150_1..S03R,South Ferry
747,ASP22GEN-1091-Weekday-00_066350_1..N03R,Van Cortlandt Park-242 St
748,ASP22GEN-1091-Weekday-00_066750_1..S03R,South Ferry
749,ASP22GEN-1091-Weekday-00_066850_1..N03R,Van Cortlandt Park-242 St
750,ASP22GEN-1091-Weekday-00_067350_1..N03R,Van Cortlandt Park-242 St
751,ASP22GEN-1091-Weekday-00_067350_1..S03R,South Ferry
752,ASP22GEN-1091-Weekday-00_067850_1..N03R,Van Cortlandt Park-242 St
753,ASP22GEN-1091-Weekday-00_067950_1..S03R,South Ferry
754,ASP22GEN-1091-Weekday-00_068350_1..N03R,Van Cortlandt Park-242 St
755,ASP22GEN-1091-Weekday-00_068550_1..S03R,South Ferry
756,ASP22GEN-1091-Weekday-00_068850_1..N03R,Van Cortlandt Park-242 St
757,ASP22GEN-1091-Weekday-00_069150_1..S03R,South Ferry
758,ASP22GEN-1091-Weekday-00_069450_1..N03R,Van Cortlandt Park-242 St
759,ASP22GEN-1091-Weekday-00_069750_1..S03R,South Ferry
760,ASP22GEN-1091-Weekday-00_069950_1..N03R,Van Cortlandt Park-242 St
761,ASP22GEN-1091-Weekday-00_070350_1..S03R,South Ferry
762,ASP22GEN-1091-Weekday-00_070550_1..N03R,Van Cortlandt Park-242 St
763,ASP22GEN-1091-Weekday-00_070950_1..S03R,South Ferry
764,ASP22GEN-1091-Weekday-00_071150_1..N03R,Van Cortlandt Park-242 St
