,trip_id,trip_headsign
355,ASP22GEN-1038-Saturday-00_055900_1..N03R,Van Cortlandt Park-242 St
356,ASP22GEN-1038-Saturday-00_055950_1..S03R,South Ferry
357,ASP22GEN-1038-Saturday-00_056700_1..N03R,Van Cortlandt Park-242 St
358,ASP22GEN-1038-Saturday-00_056750_1..S03R,South Ferry
359,ASP22GEN-1038-Saturday-00_057500_1..N03R,Van Cortlandt Park-242 St
360,ASP22GEN-1038-Saturday-00_057550_1..S03R,South Ferry
361,ASP22GEN-1038-Saturday-00_058300_1..N03R,Van Cortlandt Park-242 St
362,ASP22GEN-1038-Saturday-00_058350_1..S03R,South Ferry
363,ASP22GEN-1038-Saturday-00_059100_1..N03R,Van Cortlandt Park-242 St
364,ASP22GEN-1038-Saturday-00_059150_1..S03R,South Ferry
365,ASP22GEN-1038-Saturday-00_059900_1..N03R,Van Cortlandt Park-242 St
366,ASP22GEN-1038-Saturday-00_059950_1..S03R,South Ferry
367,ASP22GEN-1038-Saturday-00_060700_1..N03R,Van Cortlandt Park-242 St
368,ASP22GEN-1038-Saturday-00_060750_1..S03R,South Ferry
369,ASP22GEN-1038-Saturday-00_061500_1..N03R,Van Cortlandt Park-242 St
370,ASP22GEN-1038-Saturday-00_061550_1..S03R,South Ferry
371,ASP22GEN-1038-Saturday-00_062300_1..N03R,Van Cortlandt Park-242 St
372,ASP22GEN-1038-Saturday-00_062350_1..S03R,South Ferry
373,ASP22GEN-1038-Saturday-00_063100_1..N03R,Van Cortlandt Park-242 St
374,ASP22GEN-1038-Saturday-00_063150_1..S03R,South Ferry
375,ASP22GEN-1038-Saturday-00_063900_1..N03R,Van Cortlandt Park-242 St
376,ASP22GEN-1038-Saturday-00_063950_1..S03R,South Ferry
377,ASP22GEN-1038-Saturday-00_064700_1..N03R,Van Cortlandt Park-242 St
378,ASP22GEN-1038-Saturday-00_064750_1..S03R,South Ferry
379,ASP22GEN-1038-Saturday-00_065500_1..N03R,Van Cortlandt Park-242 St
380,ASP22GEN-1038-Saturday-00_065550_1..S03R,South Ferry
381,ASP22GEN-1038-Saturday-00_066300_1..N03R,Van Cortlandt Park-242 St
382,ASP22GEN-1038-Saturday-00_066350_1..S03R,South Ferry
383,ASP22GEN-1038-Saturday-00_067100_1..N03R,Van Cortlandt Park-242 St
384,ASP22GEN-1038-Saturday-00_067150_1..S03R,South Ferry
385,ASP22GEN-1038-Saturday-00_067900_1..N03R,Van Cortlandt Park-242 St
386,ASP22GEN-1038-Saturday-00_067950_1..S03R,South Ferry
387,ASP22GEN-1038-Saturday-00_068700_1..N03R,Van Cortlandt Park-242 St
388,ASP22GEN-1038-Saturday-00_068750_1..S03R,South Ferry
389,ASP22GEN-1038-Saturday-00_069500_1..N03R,Van Cortlandt Park-242 St
390,ASP22GEN-1038-Saturday-00_069550_1..S03R,South Ferry
391,ASP22GEN-1038-Saturday-00_070300_1..N03R,Van Cortlandt Park-242 St
392,ASP22GEN-1038-Saturday-00_070350_1..S03R,South Ferry
393,ASP22GEN-1038-Saturday-00_071100_1..N03R,Van Cortlandt Park-242 St
394,ASP22GEN-1038-Saturday-00_071150_1..S03R,South Ferry
395,ASP22GEN-1038-Saturday-00_071900_1..N03R,Van Cortlandt Park-242 St
396,ASP22GEN-1038-Saturday-00_071950_1..S03R,South Ferry
397,ASP22GEN-1038-Saturday-00_072700_1..N03R,Van Cortlandt Park-242 St
398,ASP22GEN-1038-Saturday-00_072750_1..S03R,South Ferry
399,ASP22GEN-1038-Saturday-00_073500_1..N03R,Van Cortlandt Park-242 St
400,ASP22GEN-1038-Saturday-00_073550_1..S03R,South Ferry
401,ASP22GEN-1038-Saturday-00_074300_1..N03R,Van Cortlandt Park-242 St
402,ASP22GEN-1038-Saturday-00_074350_1..S03R,South Ferry
403,ASP22GEN-1038-Saturday-00_075100_1..N03R,Van Cortlandt Park-242 St
404,ASP22GEN-1038-Saturday-00_075150_1..S03R,South Ferry
405,ASP22GEN-1038-Saturday-00_075900_1..N03R,Van Cortlandt Park-242 St
406,ASP22GEN-1038-Saturday-00_075950_1..S03R,South Ferry
407,ASP22GEN-1038-Saturday-00_076700_1..N03R,Van Cortlandt Park-242 St
408,ASP22GEN-1038-Saturday-00_076750_1..S03R,South Ferry
409,ASP22GEN-1038-Saturday-00_077500_1..N03R,Van Cortlandt Park-242 St
410,ASP22GEN-1038-Saturday-00_077550_1..S03R,South Ferry
411,ASP22GEN-1038-Saturday-00_078300_1..N03R,Van Cortlandt Park-242 St
412,ASP22GEN-1038-Saturday-00_078350_1..S03R,South Ferry
413,ASP22GEN-1038-Saturday-00_079100_1..N03R,Van Cortlandt Park-242 St
414,ASP22GEN-1038-Saturday-00_079150_1..S03R,South Ferry
415,ASP22GEN-1038-Saturday-00_079900_1..N03R,Van Cortlandt Park-242 St
416,ASP22GEN-1038-Saturday-00_079950_1..S03R,South Ferry
417,ASP22GEN-1038-Saturday-00_080700_1..N03R,Van Cortlandt Park-242 St
418,ASP22GEN-1038-Saturday-00_080750_1..S03R,South Ferry
419,ASP22GEN-1038-Saturday-00_081500_1..N03R,Van Cortlandt Park-242 St
420,ASP22GEN-1038-Saturday-00_081550_1..S03R,South Ferry
421,ASP22GEN-1038-Saturday-00_082300_1..N03R,Van Cortlandt Park-242 St
422,ASP22GEN-1038-Saturday-00_082350_1..S03R,South Ferry
423,ASP22GEN-1038-Saturday-00_083100_1..N03R,Van Cortlandt Park-242 St
424,ASP22GEN-1038-Saturday-00_083150_1..S03R,South Ferry
425,ASP22GEN-1038-Saturday-00_083900_1..N03R,Van Cortlandt Park-242 St
426,ASP22GEN-1038-Saturday-00_083950_1..S03R,South Ferry
427,ASP22GEN-1038-Saturday-00_084700_1..N03R,Van Cortlandt Park-242 St
428,ASP22GEN-1038-Saturday-00_084750_1..S03R,South Ferry
429,ASP22GEN-1038-Saturday-00_085500_1..N03R,Van Cortlandt Park-242 St
430,ASP22GEN-1038-Saturday-00_085550_1..S03R,South Ferry
431,ASP22GEN-1038-Saturday-00_086300_1..N03R,Van Cortlandt Park-242 St
432,ASP22GEN-1038-Saturday-00_086350_1..S03R,South Ferry
433,ASP22GEN-1038-Saturday-00_087100_1..N03R,Van Cortlandt Park-242 St
434,ASP22GEN-1038-Saturday-00_087150_1..S03R,South Ferry
435,ASP22GEN-1038-Saturday-00_087900_1..N03R,Van Cortlandt Park-242 St
436,ASP22GEN-1038-Saturday-00_087950_1..S03R,South Ferry
437,ASP22GEN-1038-Saturday-00_088700_1..N03R,Van Cortlandt Park-242 St
438,ASP22GEN-1038-Saturday-00_088750_1..S03R,South Ferry
439,ASP22GEN-1038-Saturday-00_089500_1..N03R,Van Cortlandt Park-242 St
440,ASP22GEN-1038-Saturday-00_089550_1..S03R,South Ferry
441,ASP22GEN-1038-Saturday-00_090300_1..N03R,Van Cortlandt Park-242 St
442,ASP22GEN-1038-Saturday-00_090350_1..S03R,South Ferry
443,ASP22GEN-1038-Saturday-00_091100_1..N03R,Van Cortlandt Park-242 St
444,ASP22GEN-1038-Saturday-00_091150_1..S03R,South Ferry
445,ASP22GEN-1038-Saturday-00_091900_1..N03R,Van Cortlandt Park-242 St
446,ASP22GEN-1038-Saturday-00_091950_1..S03R,South Ferry
447,ASP22GEN-1038-Saturday-00_092700_1..N03R,Van Cortlandt Park-242 St
448,ASP22GEN-1038-Saturday-00_092750_1..S03R,South Ferry
449,ASP22GEN-1038-Saturday-00_093500_1..N03R,Van Cortlandt Park-242 St
450,ASP22GEN-1038-Saturday-00_093550_1..S03R,South Ferry
451,ASP22GEN-1038-Saturday-00_094300_1..N03R,Van Cortlandt Park-242 St
452,ASP22GEN-1038-Saturday-00_094350_1..S03R,South Ferry
453,ASP22GEN-1038-Saturday-00_095100_1..N03R,Van Cortlandt Park-242 St
454,ASP22GEN-1038-Saturday-00_095150_1..S03R,South Ferry
455,ASP22GEN-1038-Saturday-00_095900_1..N03R,Van Cortlandt Park-242 St
456,ASP22GEN-1038-Saturday-00_095950_1..S03R,South Ferry
457,ASP22GEN-1038-Saturday-00_096700_1..N03R,Van Cortlandt Park-242 St
458,ASP22GEN-1038-Saturday-00_096750_1..S03R,South Ferry
459,ASP22GEN-1038-Saturday-00_097500_1..N03R,Van Cortlandt Park-242 St
460,ASP22GEN-1038-Saturday-00_097550_1..S03R,South Ferry
461,ASP22GEN-1038-Saturday-00_098300_1..N03R,Van Cortlandt Park-242 St
462,ASP22GEN-1038-Saturday-00_098350_1..S03R,South Ferry
463,ASP22GEN-1038-Saturday-00_099100_1..N03R,Van Cortlandt Park-242 St
464,ASP22GEN-1038-Saturday-00_099150_1..S03R,South Ferry
465,ASP22GEN-1038-Saturday-00_099900_1..N03R,Van Cortlandt Park-242 St
466,ASP22GEN-1038-Saturday-00_099950_1..S03R,South Ferry
